"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"7JUXMSZR","conferencePaper","2021","Ghai, Bhavya; Hoque, Md Naimul; Mueller, Klaus","WordBias: An interactive visual tool for discovering intersectional biases encoded in word embeddings","Extended abstracts of the 2021 CHI conference on human factors in computing systems","978-1-4503-8095-9","","10.1145/3411763.3451587","https://doi.org/10.1145/3411763.3451587","Intersectional bias is a bias caused by an overlap of multiple social factors like gender, sexuality, race, disability, religion, etc. A recent study has shown that word embedding models can be laden with biases against intersectional groups like African American females, etc. The first step towards tackling intersectional biases is to identify them. However, discovering biases against different intersectional groups remains a challenging task. In this work, we present WordBias, an interactive visual tool designed to explore biases against intersectional groups encoded in static word embeddings. Given a pretrained static word embedding, WordBias computes the association of each word along different groups like race, age, etc. and then visualizes them using a novel interactive interface. Using a case study, we demonstrate how WordBias can help uncover biases against intersectional groups like Black Muslim Males, Poor Females, etc. encoded in word embedding. In addition, we also evaluate our tool using qualitative feedback from expert interviews. The source code for this tool can be publicly accessed for reproducibility at github.com/bhavyaghai/WordBias.","2021","2024-07-07 16:25:36","2024-07-07 16:25:36","","","","","","","","","Chi ea '21","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","Citation Key: 10.1145/3411763.3451587 Number of pages: 7 Place: Yokohama, Japan tex.articleno: 429","","","","Algorithmic Fairness; Visual Analytics; Word Embeddings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FNIA5CVU","conferencePaper","2016","Sänger, Johannes; Hänsch, Norman; Glass, Brian; Benenson, Zinaida; Landwirth, Robert; Sasse, M. Angela","Look before you leap: Improving the users' ability to detect fraud in electronic marketplaces","Proceedings of the 2016 CHI conference on human factors in computing systems","978-1-4503-3362-7","","10.1145/2858036.2858555","https://doi.org/10.1145/2858036.2858555","Reputation systems in current electronic marketplaces can easily be manipulated by malicious sellers in order to appear more reputable than appropriate. We conducted a controlled experiment with 40 UK and 41 German participants on their ability to detect malicious behavior by means of an eBay-like feedback profile versus a novel interface involving an interactive visualization of reputation data. The results show that participants using the new interface could better detect and understand malicious behavior in three out of four attacks (the overall detection accuracy 77","2016","2024-07-07 16:25:36","2024-07-07 16:25:36","","3870–3882","","","","","","","Chi '16","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","Citation Key: 10.1145/2858036.2858555 Number of pages: 13 Place: San Jose, California, USA","","","","context-based attacks; fraud detection; reputation systems; trust; visual analytics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58KILCTW","conferencePaper","2012","Jianu, Radu; Laidlaw, David","An evaluation of how small user interface changes can improve scientists' analytic strategies","Proceedings of the SIGCHI conference on human factors in computing systems","978-1-4503-1015-4","","10.1145/2207676.2208704","https://doi.org/10.1145/2207676.2208704","Subtle changes in analysis system interfaces can be used purposely to alter users' analytic behaviors. In a controlled study subjects completed three analyses at one-week intervals using an analysis support system. Control subjects used one interface in all sessions. Test subjects used modified versions in the last two sessions: a first set of changes aimed at increasing subjects' use of the system and their consideration of alternative hypotheses; a second set of changes aimed at increasing the amount of evidence collected. Results show that in the second session test subjects used the interface 39","2012","2024-07-07 16:25:36","2024-07-07 16:25:36","","2953–2962","","","","","","","Chi '12","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","Citation Key: 10.1145/2207676.2208704 Number of pages: 10 Place: Austin, Texas, USA","","","","analytic biases; persuasive technology; visual analytics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BXHPAIEJ","conferencePaper","2023","Bhattacharya, Aditya; Ooge, Jeroen; Stiglic, Gregor; Verbert, Katrien","Directive explanations for monitoring the risk of diabetes onset: Introducing directive data-centric explanations and combinations to support what-if explorations","Proceedings of the 28th international conference on intelligent user interfaces","9798400701061","","10.1145/3581641.3584075","https://doi.org/10.1145/3581641.3584075","Explainable artificial intelligence is increasingly used in machine learning (ML) based decision-making systems in healthcare. However, little research has compared the utility of different explanation methods in guiding healthcare experts for patient care. Moreover, it is unclear how useful, understandable, actionable and trustworthy these methods are for healthcare experts, as they often require technical ML knowledge. This paper presents an explanation dashboard that predicts the risk of diabetes onset and explains those predictions with data-centric, feature-importance, and example-based explanations. We designed an interactive dashboard to assist healthcare experts, such as nurses and physicians, in monitoring the risk of diabetes onset and recommending measures to minimize risk. We conducted a qualitative study with 11 healthcare experts and a mixed-methods study with 45 healthcare experts and 51 diabetic patients to compare the different explanation methods in our dashboard in terms of understandability, usefulness, actionability, and trust. Results indicate that our participants preferred our representation of data-centric explanations that provide local explanations with a global overview over other methods. Therefore, this paper highlights the importance of visually directive data-centric explanation method for assisting healthcare experts to gain actionable insights from patient health records. Furthermore, we share our design implications for tailoring the visual representation of different explanation methods for healthcare experts.","2023","2024-07-07 16:25:36","2024-07-07 16:25:36","","204–219","","","","","","","Iui '23","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","Citation Key: 10.1145/3581641.3584075 Number of pages: 16 Place: Sydney, NSW, Australia","","","","Explainable AI; Human-centered AI; Interpretable AI; Responsible AI; Visual Analytics; XAI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DV4Q6TJJ","conferencePaper","2022","Stoll, Elena; Urban, Adam; Ballin, Philipp; Kammer, Dietrich","Can explainable AI foster trust in a customer dialogue system?","Proceedings of the 2022 international conference on advanced visual interfaces","978-1-4503-9719-3","","10.1145/3531073.3534481","https://doi.org/10.1145/3531073.3534481","In this poster paper we present a web user study about a customer dialogue system, in which participants assigned tickets based on an automatic classification to different departments and answered questions about the perceived classification performance. Completion times were significantly shorter when offering explanations on the classification process, while task success and trust in the interface did not depend on showing explanations or not. Based on the results, future studies should be confined to smaller scopes and investigate more techniques for explainable AI.","2022","2024-07-07 16:25:36","2024-07-07 16:25:36","","","","","","","","","Avi '22","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","Citation Key: 10.1145/3531073.3534481 Number of pages: 3 Place: Frascati, Rome, Italy tex.articleno: 56","","","","Explainable AI; Information Visualization; Transparency; Trust","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UK8HZ5ZW","conferencePaper","1994","Stone, Maureen C.; Fishkin, Ken; Bier, Eric A.","The movable filter as a user interface tool","Proceedings of the SIGCHI conference on human factors in computing systems","0-89791-650-6","","10.1145/191666.191774","https://doi.org/10.1145/191666.191774","","1994","2024-07-07 16:25:37","2024-07-07 16:25:37","","306–312","","","","","","","Chi '94","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","Citation Key: 10.1145/191666.191774 Number of pages: 7 Place: Boston, Massachusetts, USA","","","","editing; graphics; lens; macro; transparent; viewing filter; visualization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U6B9SS8Z","conferencePaper","1995","Interrante, Victoria; Fuchs, Henry; Pizer, Stephen","Enhancing transparent skin surfaces with ridge and valley lines","Proceedings of the 6th conference on visualization '95","0-8186-7187-4","","","","There are many applications that can benefit from the simultaneous display of multiple layers of data. The objective in these cases is to render the layered surfaces in such a way that the outer structures can be seen and seen through at the same time. This paper focuses on the particular application of radiation therapy treatment planning, in which physicians need to understand the three-dimensional distribution of radiation dose in the context of patient anatomy. We describe a promising technique for communicating the shape and position of the transparent skin surface while at the same time minimally occluding underlying isointensity dose surfaces and anatomical objects: adding a sparse, opaque texture comprised of a small set of carefully-chosen lines. We explain the perceptual motivation for explicitly drawing ridge and valley curves on a transparent surface, describe straightforward mathematical techniques for detecting and rendering these lines, and propose a small number of reasonably effective methods for selectively emphasizing the most perceptually relevant lines in the display.","1995","2024-07-07 16:25:37","2024-07-07 16:25:37","","52","","","","","","","Vis '95","","","","IEEE Computer Society","USA","","","","","","","","Citation Key: 10.5555/832271.833836","","","","medical imaging; transparency; visualization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G4M2Q297","conferencePaper","2021","Bhatt, Umang; Antorán, Javier; Zhang, Yunfeng; Liao, Q. Vera; Sattigeri, Prasanna; Fogliato, Riccardo; Melançon, Gabrielle; Krishnan, Ranganath; Stanley, Jason; Tickoo, Omesh; Nachman, Lama; Chunara, Rumi; Srikumar, Madhulika; Weller, Adrian; Xiang, Alice","Uncertainty as a form of transparency: Measuring, communicating, and using uncertainty","Proceedings of the 2021 AAAI/ACM conference on AI, ethics, and society","978-1-4503-8473-5","","10.1145/3461702.3462571","https://doi.org/10.1145/3461702.3462571","Algorithmic transparency entails exposing system properties to various stakeholders for purposes that include understanding, improving, and contesting predictions. Until now, most research into algorithmic transparency has predominantly focused on explainability. Explainability attempts to provide reasons for a machine learning model's behavior to stakeholders. However, understanding a model's specific behavior alone might not be enough for stakeholders to gauge whether the model is wrong or lacks sufficient knowledge to solve the task at hand. In this paper, we argue for considering a complementary form of transparency by estimating and communicating the uncertainty associated with model predictions. First, we discuss methods for assessing uncertainty. Then, we characterize how uncertainty can be used to mitigate model unfairness, augment decision-making, and build trustworthy systems. Finally, we outline methods for displaying uncertainty to stakeholders and recommend how to collect information required for incorporating uncertainty into existing ML pipelines. This work constitutes an interdisciplinary review drawn from literature spanning machine learning, visualization/HCI, design, decision-making, and fairness. We aim to encourage researchers and practitioners to measure, communicate, and use uncertainty as a form of transparency.","2021","2024-07-07 16:25:37","2024-07-07 16:25:37","","401–413","","","","","","","Aies '21","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","Citation Key: 10.1145/3461702.3462571 Number of pages: 13 Place: Virtual Event, USA","","","","machine learning; transparency; uncertainty; visualization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P5D5LEJ2","conferencePaper","2020","Zhang, Hao; Zhang, Zhishu; Xia, Luyao; Wang, Sheng; Zhao, Rongyong; Chen, Xiang; Liu, Steven","Augmented reality-based auxiliary device for workshop logistics delivery","Proceedings of the 2020 international conference on computing, networks and internet of things","978-1-4503-7771-3","","10.1145/3398329.3398364","https://doi.org/10.1145/3398329.3398364","Indoor logistics between machining centers is significant to deliver the work-pieces or components just in time a workshop. However, the existing of order disturbance caused by rush order inserting problem, the opaqueness of work in process (WIP) and line-side storage information often increase the difficulty of delivery and even lead to delivery mistakes. To solve the problems above, this paper introduces the augmented reality (AR) technology into a visual management layer. The guidance module diagram of workshop logistics is put forward. Feature-point detection algorithm and description algorithm used for AR is designed. Euclidean distance is defined for two high-dimensional features matching. To validate the approach, an engineering case about the visible delivery of the cylinder shells and piston rod on the CDL pipeline is studied. By using of visualization technology, the production and delivery information of materials can be transmitted to the operators in a comprehensive, real-time and accurate mode, the interaction between operators and equipment can be enhanced, and the entire process from order to production of the workshop products visual management and guidance can be advanced.","2020","2024-07-07 16:25:37","2024-07-07 16:25:37","","117–121","","","","","","","Cniot '20","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","Citation Key: 10.1145/3398329.3398364 Number of pages: 5 Place: Sanya, China","","","","Augmented Reality; Feature Extraction; Transparency; Visualization; Workshop Logistics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TUACRGIU","conferencePaper","2023","Gupta, Shubhangi","Mapping the smart city: Participatory approaches to XAI","Companion publication of the 2023 ACM designing interactive systems conference","978-1-4503-9898-5","","10.1145/3563703.3593063","https://doi.org/10.1145/3563703.3593063","How can we explain the broad and uneven spatial effects of Machine Learning (ML) algorithms that mediate the everyday lives of smart city residents? The discriminatory impacts of civic algorithms remain opaque to city inhabitants and experts alike. Current Explainable AI (XAI) approaches, while influential, are limited in their ability to explain the inequitable algorithmic spatial effects in an accessible, critical, and grounded manner. My thesis explores the potential of participatory mapping as a critical and collaborative technique to address these limits. My work draws on (1) scholarship on critical data and algorithmic studies, (2) qualitative research with domain experts from history and criminology, and (3) participatory mapping sessions with city residents and ML practitioners. Ultimately, my research will inform the design of a toolkit to help people in classrooms and community centers collaboratively reflect on how city residents may unevenly experience the impact of artificially intelligent systems guiding contemporary urban life.","2023","2024-07-07 16:25:37","2024-07-07 16:25:37","","1–6","","","","","","","DIS '23 companion","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","Citation Key: 10.1145/3563703.3593063 Number of pages: 6 Place: Pittsburgh, PA, USA","","","","Explainable AI; Mapping; Participatory Methods; Smart city; Transparency; Visualization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
