"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Publisher","Sponsors","Conference name","Conference date","Conference location","Conference code","ISSN","ISBN","CODEN","Document Type","Publication Stage","Open Access","Source","EID"
"Carmichael Z.; Lohit S.; Cherian A.; Jones M.J.; Scheirer W.J.","Carmichael, Zachariah (57208833950); Lohit, Suhas (57023895500); Cherian, Anoop (35104619100); Jones, Michael J. (55700793100); Scheirer, Walter J. (35241348400)","57208833950; 57023895500; 35104619100; 55700793100; 35241348400","Pixel-Grounded Prototypical Part Networks","2024","Proceedings - 2024 IEEE Winter Conference on Applications of Computer Vision, WACV 2024","","","","4756","4767","11","0","10.1109/WACV57701.2024.00470","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191278298&doi=10.1109%2fWACV57701.2024.00470&partnerID=40&md5=3e932723e197645c256a392f844d0270","Prototypical part neural networks (ProtoPartNNs), namely ProtoPNet and its derivatives, are an intrinsically interpretable approach to machine learning. Their prototype learning scheme enables intuitive explanations of the form, this (prototype) looks like that (testing image patch). But, does this actually look like that? In this work, we delve into why object part localization and associated heat maps in past work are misleading. Rather than localizing to object parts, existing ProtoPartNNs localize to the entire image, contrary to generated explanatory visualizations. We argue that detraction from these underlying issues is due to the alluring nature of visualizations and an over-reliance on intuition. To alleviate these issues, we devise new receptive field-based architectural constraints for meaningful localization and a principled pixel space mapping for ProtoPartNNs. To improve interpretability, we propose additional architectural improvements, including a simplified classification head. We also make additional corrections to ProtoPNet and its derivatives, such as the use of a validation set, rather than a test set, to evaluate generalization during training. Our approach, PixPNet (Pixel-grounded Prototypical part Network), is the only ProtoPartNN that truly learns and localizes to prototypical object parts. We demonstrate that PixPNet achieves quantifiably improved interpretability without sacrificing accuracy https://github.com/merlresearch/PixPNet. © 2024 IEEE.","accountable; Algorithms; Algorithms; Algorithms; and algorithms; ethical computer vision; Explainable; fair; formulations; Image recognition and understanding; Machine learning architectures; privacy-preserving","Image recognition; Learning algorithms; Learning systems; Machine learning; Pixels; Privacy-preserving techniques; Visualization; Accountable; And algorithm; Ethical computer vision; Explainable; Fair; Formulation; Learning architectures; Machine learning architecture; Machine-learning; Privacy preserving; Computer vision","Institute of Electrical and Electronics Engineers Inc.","CVF; IEEE Computer Society","2024 IEEE Winter Conference on Applications of Computer Vision, WACV 2024","4 January 2024 through 8 January 2024","Waikoloa","198735","","979-835031892-0","","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85191278298"
"Uddin M.T.; Yin L.; Canavan S.","Uddin, Md Taufeeq (57225658580); Yin, Lijun (7203060635); Canavan, Shaun (24490527800)","57225658580; 7203060635; 24490527800","Spatio-Temporal Graph Analytics on Secondary Affect Data for Improving Trustworthy Emotional AI","2024","IEEE Transactions on Affective Computing","15","1","","30","49","19","0","10.1109/TAFFC.2023.3296695","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165370380&doi=10.1109%2fTAFFC.2023.3296695&partnerID=40&md5=8a6de88e996863bdd65c38c0764a1f58","Ethical affective computing (AC) requires maximizing the benefits to users while minimizing its harm to obtain trust from users. This requires responsible development and deployment to ensure fairness, bias mitigation, privacy preservation, and accountability. To obtain this, we require methodologies that can quantify, visualize, analyze, and mine insights from affect data. Hence, in this article, we propose a spatio-temporal model for representing secondary affect data from network sciences' perspective. We propose a network science-based model to represent spatio-temporal data, e.g., action units' sequences, and continuous affect reports. In particular, the proposed model captures the spatial and temporal strength of the relationship among essential variables in the data. The proposed model allows to analyze data as a whole system. We also demonstrated the use case of the model for graph analytics on secondary affect data that can assist to measure and quantify several issues that can be originated from the study setup, data recording devices, and the influences/biases that can originate from the perspective of the affect reporters. We also demonstrated the use cases of the proposed method on ethical trustworthy emotional AI via measuring biases from de-identified data and how it contributes towards ethics, transparency, value alignment, and governance.  © 2010-2012 IEEE.","affective graph analytics; and contextual perspectives; data quality inspection; fairness and biases from data collection; recording; Spatio-temporal network model; trustworthy ethical AC","Ethical technology; Affective Computing; Affective graph analytic; And contextual perspective; Computational modelling; Data collection; Data quality; Data quality inspection; Face; Fairness and bias from data collection; Gold; Graph-analytic; Network models; Quality inspection; Recording; Spatio-temporal; Spatio-temporal network model; Temporal networks; Trustworthy ethical affective computing; Data visualization","Institute of Electrical and Electronics Engineers Inc.","","","","","","19493045","","","Article","Final","","Scopus","2-s2.0-85165370380"
"Sommersperger M.; Dehghani S.; Matten P.; Roodaki H.; Navab N.","Sommersperger, Michael (57219441218); Dehghani, Shervin (57222105033); Matten, Philipp (57456415200); Roodaki, Hessam (57188686134); Navab, Nassir (7003458998)","57219441218; 57222105033; 57456415200; 57188686134; 7003458998","Uncertainty-Aware Contextual Visualization for Human Supervision of OCT-Guided Autonomous Robotic Subretinal Injection","2024","Proceedings - IEEE International Conference on Robotics and Automation","","","","1268","1275","7","0","10.1109/ICRA57147.2024.10610319","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202438712&doi=10.1109%2fICRA57147.2024.10610319&partnerID=40&md5=91ccd5c38569d118c02ff3d89e398eba","The injection of therapeutic agents into the sub-retinal space might allow improved treatment of age-related macular degeneration. Various robotic systems have been developed to achieve the required precision and, in combination with intraoperative Optical Coherence Tomography (iOCT) imaging, methods for autonomous robotic guidance have been proposed. In such systems, the robot's cognition is often governed by machine learning algorithms, such as convolutional neural networks (CNNs), which provide semantic scene information from iOCT images. Although the robot performs a surgical task autonomously, human supervision is critical to monitor the robot's execution and, if necessary, stop the robot or take control to avoid trauma to the patient. In this paper, we propose a novel visualization concept for improved human supervision of autonomous robotic subretinal injection that integrates uncertainty information of the data provided to the robot. We design a focus and context visualization that renders an automatically identified instrument-aligned B-scan in the context of the 3D OCT volume. Our visualization is enriched by augmenting the uncertainty information on the instrument-aligned B-scan. To dynamically model task-specific uncertainty, we introduce a weighting scheme to assign an importance factor to each pair of classes, controlling the impact of their confusion on the overall uncertainty. We demonstrate our visualization concept on iOCT volumes acquired at different stages during subretinal injection on ex-vivo porcine eyes. We show that our processing pipeline achieves sufficient update rates for surgical display and discuss the impact of our visualization concept on the acceptance of robotic task autonomy for subretinal injection procedures. © 2024 IEEE.","Acceptability and Trust; Medical Robots and Systems; Safety in HRI","Convolutional neural networks; Medical robotics; Optical tomography; Robot learning; Robotic surgery; Visualization; Acceptability and trust; Autonomous robotics; Coherence tomography; Human supervision; Intra-operative; Medical robots and systems; Optical-; Safety in HRI; Uncertainty; Uncertainty informations; Optical coherence tomography","Institute of Electrical and Electronics Engineers Inc.","Beijing NOKOV Science and Technology Co., Ltd.; et al.; Kawasaki Heavy Industries, Ltd.; Kuka AG; Schunk SE and Co. KG; ShangHai CHINGMU Tech Ltd","2024 IEEE International Conference on Robotics and Automation, ICRA 2024","13 May 2024 through 17 May 2024","Yokohama","201702","10504729","979-835038457-4","PIIAE","Conference paper","Final","","Scopus","2-s2.0-85202438712"
"Noortman R.","Noortman, Renee (57209397777)","57209397777","Data Introspection: An Embroidered PhD Trajectory in Unconventional Personal Data","2024","ACM International Conference Proceeding Series","","","77","","","","0","10.1145/3623509.3635258","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185220039&doi=10.1145%2f3623509.3635258&partnerID=40&md5=5fe5cb8de25d1904bfb9a10296d82476","In an age of data, we are increasingly defined by the data sets collected about us. Expressing identity in these data sets can be difficult as they are aggregated and collected according to specific values and beliefs that might not match our own. Through an elaborate process that I refer to as data introspection, I explored three data sets about myself (books I read, board games I played and my yoga practice) to create a feminist, hand-embroidered physicalisation of those data sets. Building on the principles of Data Feminism, I reflect on the process of creating that artefact, including the selection and cleaning of the data, the materiality of the artefact and the crafting process. The artefact exemplifies new ways to use unconventional personal data as a creative, feminist material for design.  © 2024 Copyright held by the owner/author(s). Publication rights licensed to ACM.","autoethnography; data feminism; data introspection; data visualisation; unconventional data","Data visualization; Ethical technology; Social aspects; Autoethnography; Board games; Creatives; Data feminism; Data introspection; Data set; Specific values; Unconventional data; Values and beliefs; Data privacy","Association for Computing Machinery","ACM SIGCHI","18th International Conference on Tangible, Embedded, and Embodied Interaction, TEI 2024","11 February 2024 through 14 February 2024","Cork","175805","","979-840070402-4","","Conference paper","Final","","Scopus","2-s2.0-85185220039"
"Aoi D.; Hasegawa K.; Li L.; Sakano Y.; Sakamoto N.; Tanaka S.","Aoi, Daimon (57209318843); Hasegawa, Kyoko (15759526600); Li, Liang (56442824900); Sakano, Yuichi (23398466900); Sakamoto, Naohisa (55444974400); Tanaka, Satoshi (57198405387)","57209318843; 15759526600; 56442824900; 23398466900; 55444974400; 57198405387","Edge highlighting of laser-scanned point clouds improves the accuracy of perceived depth in transparent multi-view 3D visualizations","2024","International Journal of Modeling, Simulation, and Scientific Computing","15","1","2450021","","","","1","10.1142/S1793962324500211","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185812294&doi=10.1142%2fS1793962324500211&partnerID=40&md5=1272884b8ceafb961055859a25260c3d","The rapid development of 3D scanning has allowed us to digitally capture cultural heritage objects as large-scale point clouds, recording their complex internal and external structures. We have developed a 3D multi-view transparent visualization using edge highlighting as visual guide, improving accuracy of perceived depth for reliable visual analyses of the 3D scanned point clouds. When transparently visualizing a 3D object on a 3D multi-view display, the depth information tends to become less distinct. Therefore, we aimed to explore whether emphasizing the statistically extracted 3D edges of the scanned object can enhance the perceived depth of transparently visualized 3D objects. We conducted psychophysical experiments where participants were asked to report their perceived magnitudes of depth for multiple types of 3D structures of cultural heritage presented on a multi-view 3D display. The results indicated that our edge highlighting reduced the underestimation of depth from 46.8% to 34.0% on average. This improvement persisted even when the 3D structures produced an atypical linear perspective, normally caused by reverse depths, where the front and back are reversed. These findings suggest that edge highlighting brings us an effective visual guide to improve the accuracy of perceived depths on a 3D multi-view display.  © 2024 The Author(s).","depth perception; edge highlighting; Transparent multi-view 3D visualization; visual guide","Three dimensional computer graphics; Three dimensional displays; Visualization; 3D object; 3D Structure; 3D Visualization; Edge highlighting; Laser scanned; Multi-views; Multiview displays; Point-clouds; Transparent multi-view 3d visualization; Visual guide; Depth perception","World Scientific","","","","","","17939623","","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85185812294"
"Xiong C.; Lee-Robbins E.; Zhang I.; Gaba A.; Franconeri S.","Xiong, Cindy (57211998174); Lee-Robbins, Elsie (57218347763); Zhang, Icy (57222089388); Gaba, Aimen (57845916000); Franconeri, Steven (6603307356)","57211998174; 57218347763; 57222089388; 57845916000; 6603307356","Reasoning Affordances with Tables and Bar Charts","2024","IEEE Transactions on Visualization and Computer Graphics","30","7","","3487","3502","15","3","10.1109/TVCG.2022.3232959","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146253564&doi=10.1109%2fTVCG.2022.3232959&partnerID=40&md5=19c345766fb1b150f4140a1ab106ada3","A viewer's existing beliefs can prevent accurate reasoning with data visualizations. In particular, confirmation bias can cause people to overweigh information that confirms their beliefs, and dismiss information that disconfirms them. We tested whether confirmation bias exists when people reason with visualized data and whether certain visualization designs can elicit less biased reasoning strategies. We asked crowdworkers to solve reasoning problems that had the potential to evoke both poor reasoning strategies and confirmation bias. We created two scenarios, one in which we primed people with a belief before asking them to make a decision, and another in which people held pre-existing beliefs. The data was presented as either a table, a bar table, or a bar chart. To correctly solve the problem, participants should use a complex reasoning strategy to compare two ratios, each between two pairs of values. But participants could also be tempted to use simpler, superficial heuristics, shortcuts, or biased strategies to reason about the problem. Presenting the data in a table format helped participants reason with the correct ratio strategy while showing the data as a bar table or a bar chart led participants towards incorrect heuristics. Confirmation bias was not significantly present when beliefs were primed, but it was present when beliefs were pre-existing. Additionally, the table presentation format was more likely to afford the ratio reasoning strategy, and the use of ratio strategy was more likely to lead to the correct answer. These findings suggest that data presentation formats can affect affordances for reasoning. © 1995-2012 IEEE.","Data visualization; empirical evaluation; reasoning; tabular displays","Adult; Computer Graphics; Data Visualization; Female; Humans; Male; Problem Solving; Thinking; Young Adult; Visualization; Affordances; Bar chart; Cognition; Confirmation bias; Empirical evaluations; Presentation formats; Reasoning; Tabular display; Urban areas; Weapon; adult; computer graphics; data visualization; female; human; male; physiology; problem solving; thinking; young adult; Data visualization","IEEE Computer Society","","","","","","10772626","","ITVGE","Article","Final","","Scopus","2-s2.0-85146253564"
"Reid K.; Williams E.T.","Reid, Kathy (58161312400); Williams, Elizabeth T. (56733990800)","58161312400; 56733990800","Common Voice and accent choice: data contributors self-describe their spoken accents in diverse ways","2023","ACM International Conference Proceeding Series","","","35","","","","1","10.1145/3617694.3623258","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177815597&doi=10.1145%2f3617694.3623258&partnerID=40&md5=7c3f32db614180db64e3b02c750f9dd0","The use of machine learning (ML)-powered speech technologies has increased significantly in recent years [40, 56, 72]. The datasets used for training speech models often represent demographic features of the speaker-such as gender, age, and accent. These axes are frequently used to evaluate the training set and model for bias [52]. Here, we focus on how accent is represented in voice data due to the adverse consequences of accent bias. We perform document analysis on several voice datasets to identify how accents are currently represented. We then analyse and visualise speaker-described accents from Mozilla's Common Voice (CV) v13 English dataset, forming an emergent taxonomy of accent descriptors. We repeat this process using the CV v13 Kiswahili dataset, demonstrating that the taxonomy has use beyond English. We find that accents are currently represented in ways that are geographically, and predominantly, nationally bound. While this pattern is also shown in speaker-described accents from CV, a more diverse set of descriptors is revealed. This work provides some early evidence for re-thinking how accents are represented in datasets intended for ML applications. Our tooling is open-sourced, and we invite further work that uses our taxonomy to assess accent bias in speech data and models. © 2023 Owner/Author.","accent bias; accent data; accent recognition; bias; bias corpora; data visualization; dataset documentation; datasets; metadata; speech data; voice data","Metadata; Speech recognition; Taxonomies; Accent bias; Accent data; Accent recognition; Bias; Bias corpus; Dataset; Dataset documentation; Speech data; Speech models; Voice data; Data visualization","Association for Computing Machinery","et al.; PITcases; Schmidt Futures; SIGAI; SIGecom; University of California","2023 ACM Conference on Equity and Access in Algorithms, Mechanisms, and Optimization, EAAMO 2023","30 October 2023 through 1 November 2023","Boston","193914","","979-840070381-2","","Conference paper","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85177815597"
"Tanaka S.","Tanaka, Satoshi (57198405387)","57198405387","Application of 3D Scanned Big Data of Large-scale Cultural Heritage Objects Based on Noise-robust Transparent Visualization","2023","Xitong Fangzhen Xuebao / Journal of System Simulation","35","8","","1635","1650","15","0","10.16182/j.issn1004731x.joss.23-0480","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171570466&doi=10.16182%2fj.issn1004731x.joss.23-0480&partnerID=40&md5=5bf40c4e8d9f07427c04491c41497b44","Three-dimensional (3D) scanning technology has undergone remarkable developments in recent years. Data acquired by 3D scanning have the form of 3D point clouds. The 3D scanned point clouds have data sizes that can be considered big data. They also contain measurement noise inherent in measurement data. These properties of 3D scanned point clouds make many traditional CG/visualization techniques difficult. This paper reviewed our recent achievements in developing varieties of high-quality visualizations suitable for the visual analysis of 3D scanned point clouds. We demonstrated the effectiveness of the method by applying the visualizations to various cultural heritage objects. The main visualization targets used in this paper are the floats in the Gion Festival in Kyoto (the float parade is on the UNESCO Intangible Cultural Heritage List) and Borobudur Temple in Indonesia (a UNESCO World Heritage Site). © 2023 Acta Simulata Systematica Sinica. All rights reserved.","3D scanning; cultural heritage object; noise transparentization; point cloud; transparent visualization","","Acta Simulata Systematica Sinica","","","","","","1004731X","","XFXUF","Article","Final","","Scopus","2-s2.0-85171570466"
"St-Aubin B.; Wainer G.A.","St-Aubin, Bruno (56530697700); Wainer, G.A. (6602806851)","56530697700; 6602806851","Decoupling visualisation for better DEVS-based simulation applications","2024","Journal of Simulation","18","4","","569","583","14","0","10.1080/17477778.2023.2265872","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173799372&doi=10.1080%2f17477778.2023.2265872&partnerID=40&md5=02c523d422b959e7b987fe8051534127","Simulation visualisation is an effective way of understanding and communicating complex systems and processes. Among other advantages, it increases model transparency and intelligibility for all categories of users including non-experts, and it can be used by modellers as a tool to debug models in development. However, simulation visualisation is often tightly coupled to specific simulators, and, therefore, there is no way to reuse visualisation tools efficiently. Here, we present a specification that can be used to decouple visualisation engines from simulators. The specification also considers storage optimisation to support web-based simulation applications. We also present an implementation that supports the web-based representation and animation of outputs issued from simulators based on the discrete event system specification (DEVS) and Petri Nets. © 2023 The Operational Research Society.","Decoupled visualisation; simulation environment; visualisation interoperability","Discrete event simulation; Interoperability; Petri nets; Program debugging; Visualization; Websites; Debug models; Decoupled visualization; Decouplings; Discrete-Event System Specification; Model transparency; Simulation applications; Simulation environment; Systems and process; Tightly-coupled; Visualization interoperability; Specifications","Taylor and Francis Ltd.","","","","","","17477778","","","Article","Final","","Scopus","2-s2.0-85173799372"
"Wang J.; Yan Z.; Lan J.; Bertino E.; Pedrycz W.","Wang, Jie (57405753200); Yan, Zheng (56517487500); Lan, Jiahe (57678499500); Bertino, Elisa (7102307605); Pedrycz, Witold (56854903200)","57405753200; 56517487500; 57678499500; 7102307605; 56854903200","TrustGuard: GNN-based Robust and Explainable Trust Evaluation with Dynamicity Support","2024","IEEE Transactions on Dependable and Secure Computing","","","","1","18","17","2","10.1109/TDSC.2024.3353548","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182944188&doi=10.1109%2fTDSC.2024.3353548&partnerID=40&md5=92f900e355f5e2acd2e9093ae8a2e2a8","Trust evaluation assesses trust relationships between entities and facilitates decision-making. Machine Learning (ML) shows great potential for trust evaluation owing to its learning capabilities. In recent years, Graph Neural Networks (GNNs), as a new ML paradigm, have demonstrated superiority in dealing with graph data. This has motivated researchers to explore their use in trust evaluation, as trust relationships among entities can be modeled as a graph. However, current trust evaluation methods that employ GNNs fail to fully satisfy the dynamic nature of trust, overlook the adverse effects of trust-related attacks, and cannot provide convincing explanations on evaluation results. To address these problems, we propose TrustGuard, a GNN-based accurate trust evaluation model that supports trust dynamicity, is robust against typical attacks, and provides explanations through visualization. Specifically, TrustGuard is designed with a layered architecture that contains a snapshot input layer, a spatial aggregation layer, a temporal aggregation layer, and a prediction layer. Among them, the spatial aggregation layer adopts a defense mechanism to robustly aggregate local trust, and the temporal aggregation layer applies an attention mechanism for effective learning of temporal patterns. Extensive experiments on two real-world datasets show that TrustGuard outperforms state-of-the-art GNN-based trust evaluation models with respect to trust prediction across single-timeslot and multi-timeslot, even in the presence of attacks. In addition, TrustGuard can explain its evaluation results by visualizing both spatial and temporal views. IEEE","Computational modeling; Data models; dynamicity; explainability; Graph neural network; Graph neural networks; Predictive models; robustness; Robustness; Task analysis; trust evaluation; Visualization","Decision making; Job analysis; Robustness (control systems); Computational modelling; Dynamicity; Explainability; Graph neural networks; Predictive models; Robustness; Task analysis; Trust evaluation; Visualization","Institute of Electrical and Electronics Engineers Inc.","","","","","","15455971","","","Article","Article in press","All Open Access; Green Open Access","Scopus","2-s2.0-85182944188"
"Wang L.","Wang, Li (58718359600)","58718359600","3D urban landscape rendering and optimization algorithm for smart city","2023","Intelligent Decision Technologies","17","4","","943","958","15","0","10.3233/IDT-230418","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177745547&doi=10.3233%2fIDT-230418&partnerID=40&md5=f642f41dad9403253682ad3032c1bc47","3D urban landscape visualization is a key technology in digital city construction. Based on the research and analysis of the three-dimensional space of the urban landscape space, the three-dimensional space can not only allow users to intuitively perceive the development of the city. It also enables decision makers, planners, and users to more intuitively, objectively, and rationally recognize and understand the current urban development and planning design. Defining the data content of the 3D city landscape image model is the basis for creating the 3D city image model. It not only guides producers to select data, but also serves as the basis for sharing data between different applications. With the continuous development of society, the number of people living in rural areas migrating to cities to make a living has increased rapidly, leading to the growing problem of 'urban congestion' in many areas. In order to effectively solve these problems, 'smart cities' came into being. It quickly triggered a boom in global urban development. Based on a survey of the state-of-the-art in the field of 3D modeling and engineering design visualization, this paper analyzes 3D rendering acceleration algorithms used to speed up rendering and improve the quality of 3D design. By utilizing BSP technology, transparent objects can be drawn in any order in any scene, which solves the problem of incorrectly occluding transparent objects during rendering. This paper also applies collision detection technology, which enhances the user's immersive feeling when roaming the landscape. In the 3D reconstruction process, it can complete the column and wall recognition for the test image with complex composition. Its recognition rate for various urban features has reached more than 80%.  © 2023 - IOS Press. All rights reserved.","3D Cityscape; collision detection technology; LOD algorithm; smart city","3D modeling; Decision making; Rendering (computer graphics); Three dimensional computer graphics; Urban growth; Visualization; 3d cityscape; Collision detection; Collision detection technology; Detection technology; Image modeling; LOD algorithm; Three dimensional space; Transparent objects; Urban development; Urban landscape; Smart city","IOS Press BV","","","","","","18724981","","","Article","Final","","Scopus","2-s2.0-85177745547"
"Liu X.; Shao Y.; Guo Z.; Ni Y.; Sun X.; Leung A.Y.H.; Li R.","Liu, Xudong (57816136600); Shao, Yanwen (58196346900); Guo, Zhihao (57477541700); Ni, Ying (57221260665); Sun, Xuan (55539289400); Leung, Anskar Yu Hung (7403012668); Li, Runsheng (55660777300)","57816136600; 58196346900; 57477541700; 57221260665; 55539289400; 7403012668; 55660777300","Giraffe: A tool for comprehensive processing and visualization of multiple long-read sequencing data","2024","Computational and Structural Biotechnology Journal","23","","","3241","3246","5","0","10.1016/j.csbj.2024.08.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202017560&doi=10.1016%2fj.csbj.2024.08.003&partnerID=40&md5=56e39105166ca2e84e95c92107c22bc3","Third-generation sequencing techniques have become increasingly popular due to their capacity to produce long, high-quality reads. Effective comparative analysis across various samples and sequencing platforms is essential for understanding biological mechanisms and establishing benchmark baselines. However, existing tools for long-read sequencing predominantly focus on quality control (QC) and processing for individual samples, complicating the comparison of multiple datasets. The lack of comprehensive tools for data comparison and visualization presents challenges for researchers with limited bioinformatics experience. To address this gap, we present Giraffe (https://github.com/lrslab/Giraffe_View), a Python3-based command-line tool designed for comparative analysis and visualization across diverse samples and platforms. Giraffe facilitates the assessment of read quality, sequencing bias, and genomic regional methylation proportions for both DNA and direct RNA sequencing reads. Its effectiveness has been demonstrated in various scenarios, including comparisons of sequencing methods (whole genome amplification vs. shotgun), sequencing platforms (Oxford Nanopore Technology, ONT vs. Pacific Biosciences, PacBio), tissues (kidney marrow with and without blood), and biological replicates (kidney marrows). © 2024 The Authors","Direct RNA sequencing; DNA methylation; Long read sequencing; Read quality comparison; Sequencing bias","DNA sequences; Nanopores; Biological mechanisms; Comparative analyzes; Direct RNA sequencing; DNA Methylation; High quality; Long read sequencing; Multiple data sets; Read quality comparison; Sequencing bias; Third generation; Article; bioinformatics; blood; data accuracy; data processing; data quality; data visualization; DNA methylation; DNA sequencing; gene amplification; gene expression profiling; heterozygosity; human; intermethod comparison; kidney medulla; long read sequencing; nanopore sequencing; quality control; RNA sequencing; sequence analysis; sequencing bias; shotgun sequencing; software design; statistical bias; usability; whole genome amplification; Gene encoding","Elsevier B.V.","","","","","","20010370","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85202017560"
"John T.A.; Balasubramanian V.N.; Jawahar C.V.","John, Thrupthi Ann (57219544038); Balasubramanian, Vineeth N. (17344969900); Jawahar, C.V. (6701503911)","57219544038; 17344969900; 6701503911","Explaining Deep Face Algorithms Through Visualization: A Survey","2024","IEEE Transactions on Biometrics, Behavior, and Identity Science","6","1","","15","29","14","0","10.1109/TBIOM.2023.3319837","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173033166&doi=10.1109%2fTBIOM.2023.3319837&partnerID=40&md5=34748891c81ccdae4d34ba4a2ff85cc3","Although current deep models for face tasks surpass human performance on some benchmarks, we do not understand how they work. Thus, we cannot predict how it will react to novel inputs, resulting in catastrophic failures and unwanted biases in the algorithms. Explainable AI helps bridge the gap, but currently, there are very few visualization algorithms designed for faces. This work undertakes a first-of-its-kind meta-analysis of explainability algorithms in the face domain. We explore the nuances and caveats of adapting general-purpose visualization algorithms to the face domain, illustrated by computing visualizations on popular face models. We review existing face explainability works and reveal valuable insights into the structure and hierarchy of face networks. We also determine the design considerations for practical face visualizations accessible to AI practitioners by conducting a user study on the utility of various explainability algorithms.  © 2019 IEEE.","accountability; Deep neural networks; explainability; face understanding; fairness; interpretability; survey; transparency; XAI","Behavioral research; Benchmarking; Biological systems; Face recognition; Flow visualization; Job analysis; Accountability; Behavioral science; Biological system modeling; Explainability; Face understanding; Fairness; Interpretability; Task analysis; Visualization algorithms; XAI; Deep neural networks","Institute of Electrical and Electronics Engineers Inc.","","","","","","26376407","","","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85173033166"
"Burns A.; Lee C.; On T.; Xiong C.; Peck E.; Mahyar N.","Burns, Alyxander (57211214032); Lee, Christiana (57254450400); On, Thai (57254102900); Xiong, Cindy (57211998174); Peck, Evan (36170923500); Mahyar, Narges (36727821000)","57211214032; 57254450400; 57254102900; 57211998174; 36170923500; 36727821000","From Invisible to Visible: Impacts of Metadata in Communicative Data Visualization","2024","IEEE Transactions on Visualization and Computer Graphics","30","7","","3427","3443","16","5","10.1109/TVCG.2022.3231716","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146224435&doi=10.1109%2fTVCG.2022.3231716&partnerID=40&md5=482ffa3c0f441ea744aa620f7f8b9755","Leaving the context of visualizations invisible can have negative impacts on understanding and transparency. While common wisdom suggests that recontextualizing visualizations with metadata (e.g., disclosing the data source or instructions for decoding the visualizations' encoding) may counter these effects, the impact remains largely unknown. To fill this gap, we conducted two experiments. In Experiment 1, we explored how chart type, topic, and user goal impacted which categories of metadata participants deemed most relevant. We presented 64 participants with four real-world visualizations. For each visualization, participants were given four goals and selected the type of metadata they most wanted from a set of 18 types. Our results indicated that participants were most interested in metadata which explained the visualization's encoding for goals related to understanding and metadata about the source of the data for assessing trustworthiness. In Experiment 2, we explored how these two types of metadata impact transparency, trustworthiness and persuasiveness, information relevance, and understanding. We asked 144 participants to explain the main message of two pairs of visualizations (one with metadata and one without); rate them on scales of transparency and relevance; and then predict the likelihood that they were selected for a presentation to policymakers. Our results suggested that visualizations with metadata were perceived as more thorough than those without metadata, but similarly relevant, accurate, clear, and complete. Additionally, we found that metadata did not impact the accuracy of the information extracted from visualizations, but may have influenced which information participants remembered as important or interesting. © 1995-2012 IEEE.","Metadata; transparency; trust; understanding; visualization","Data mining; Data visualization; Encoding (symbols); Signal encoding; Transparency; Visualization; Data-source; Encodings; Information relevances; Information understanding; Real-world; Soft sensors; Stakeholder; Trust; Understanding; User goals; adult; article; data visualization; female; human; human experiment; major clinical study; male; metadata; Metadata","IEEE Computer Society","","","","","","10772626","","ITVGE","Article","Final","","Scopus","2-s2.0-85146224435"
