"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"TagUBig - Taming Your Big Data","A. Ferreira; J. Muchagata","CINTESIS - Center for Health Technology and Services Research, FMUP - Faculty of Medicine of the University of Porto, Porto, Portugal; CINTESIS - Center for Health Technology and Services Research, FMUP - Faculty of Medicine of the University of Porto, Porto, Portugal",2018 International Carnahan Conference on Security Technology (ICCST),"23 Dec 2018","2018","","","1","5","Every day we generate great amounts of data, from and to various devices, that blindly share all over the globe, over different platforms, service providers and individual users. It is not possible today for an individual to be sure that what s/he has shared is exactly what s/he wants to be shared and to whom. Individuals have no control over their Big Data (BiDa) before it is released “in the wild”. With the use of more and more devices and applications generating great amounts of individuals' data, each one of us is bound to be drawn in our BiDa. On the other hand, users' personal BiDa can potentially be a useful source of information to better understand what data are used for each individual's interaction profile and, when we know this, what are the most adequate measures to protect that data. Thus, we can better tame what we better know. Current access control models need to take this challenge on board because system's privacy and security controls are more likely to be compromised due to the misconfiguration or inadequate access control policies rather than the failure of cryptographic primitives or protocols. This paper presents TagUBig - Taming Your Big Data, a framework to control and improve transparency, privacy, availability and usability when users interact with applications. The framework comprises components that can face some of the European General Data Protection Regulation (GDPR) key challenges regarding personal data protection, which are introduced in the paper. A healthcare proof of concept use-case scenario is also presented together with the description and discussion of the features that have already been developed and tested. TagUBig can be used to empower individual users, foster trust and be applied in any domain that requires the best balance between availability and confidentiality in today's mobile anytime/anywhere environment.","2153-0742","978-1-5386-7931-9","10.1109/CCST.2018.8585539","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8585539","Access Control;Socio-technical Security;Big Data;Transparency;Security visualization;Usability","Data visualization;Access control;Big Data;Privacy;Usability;Human computer interaction","","2","","12","IEEE","23 Dec 2018","","","IEEE","IEEE Conferences"
"Beyond Transparency: Making the Italian Public Administration more Accessible through Data Storytelling","M. Moretti; F. De Chiara; M. Napolitano","Free University of Bozen-Bolzano, Bolzano, Italy; Fondazione Bruno Kessler, Trento, Italy; Fondazione Bruno Kessler, Trento, Italy",2018 22nd International Conference Information Visualisation (IV),"6 Dec 2018","2018","","","247","250","In Italy, the “Piano AntiCorruzione e Trasparenza” (Anti-corruption and transparency plan), with the reform of the Decree n.33/2013, requires all the public administrations to make their data (financial data, personnel, etc.) public and available, as a matter of transparency. Despite that, we are still far from reaching fully the goal of transparency. Due to the lack of a shared protocol, each administration is free to choose the format to publish and present the data, resulting in a proliferation of different formats, different website structures and table of contents, which makes the exploration and discovering of facts and figures harder. Transparency without accessibility, is a lost opportunity. The paper will discuss these issues in the light of a new design and data storytelling oriented paradigm, intended to turn the mere online publication of data into a more engaging and immersive experience. We focus on a particular case study, the project Data Explorer, a prototype informed by a new way of visualizing and exploring data, with the aim of improving the informative process, and making sense of the transparency and making it accessible to a wider audience.","2375-0138","978-1-5386-7202-0","10.1109/iV.2018.00050","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8564168","Transparency,-data-storytelling,-data-visualization","","","2","","16","IEEE","6 Dec 2018","","","IEEE","IEEE Conferences"
"A Protocol for Evaluating Model Interpretation Methods from Visual Explanations","H. Behzadi-Khormouji; J. Oramas","Imec-IDLab, University of Antwerp; Imec-IDLab, University of Antwerp",2023 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV),"6 Feb 2023","2023","","","1421","1429","With the continuous development of Convolutional Neural Networks (CNNs), there is an increasing requirement towards the understanding of the representations they internally encode. The task of studying such encoded representations is referred to as model interpretation. Efforts along this direction, despite being proved efficient, stand with two weaknesses. First, there is low semanticity on the feedback they provide which leads toward subjective visualizations. Second, there is no unified protocol for the quantitative evaluation of interpretation methods which makes the comparison between current and future methods complex.To address these issues, we propose a unified evaluation protocol for the quantitative evaluation of interpretation methods. This is achieved by enhancing existing interpretation methods to be capable of generating visual explanations and then linking these explanations with a semantic label. To achieve this, we introduce the Weighted Average Intersection-over-Union (WAIoU) metric to estimate the coverage rate between explanation heatmaps and semantic annotations. This is complemented with an analysis of several binarization techniques for heatmaps, necessary when measuring coverage. Experiments considering several interpretation methods covering different CNN architectures pre-trained on multiple datasets show the effectiveness of the proposed protocol.","2642-9381","978-1-6654-9346-8","10.1109/WACV56688.2023.00147","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10030980","Algorithms: Explainable;fair;accountable;privacy-preserving;ethical computer vision;Visualization","Heating systems;Measurement;Visualization;Computer vision;Protocols;Semantics;Computer architecture","","","","27","IEEE","6 Feb 2023","","","IEEE","IEEE Conferences"
"Occlusion Sensitivity Analysis with Augmentation Subspace Perturbation in Deep Feature Space","P. H. V. Valois; K. Niinuma; K. Fukui",University of Tsukuba; Fujitsu Research of America; University of Tsukuba,2024 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV),"9 Apr 2024","2024","","","4817","4826","Deep Learning of neural networks has gained prominence in multiple life-critical applications like medical diagnoses and autonomous vehicle accident investigations. However, concerns about model transparency and biases persist. Explainable methods are viewed as the solution to address these challenges. In this study, we introduce the Occlusion Sensitivity Analysis with Deep Feature Augmentation Subspace (OSA-DAS), a novel perturbation-based interpretability approach for computer vision. While traditional perturbation methods make only use of occlusions to explain the model predictions, OSA-DAS extends standard occlusion sensitivity analysis by enabling the integration with diverse image augmentations. Distinctly, our method utilizes the output vector of a DNN to build low-dimensional subspaces within the deep feature vector space, offering a more precise explanation of the model prediction. The structural similarity between these subspaces encompasses the influence of diverse augmentations and occlusions. We test extensively on the ImageNet-1k, and our class- and model-agnostic approach outperforms commonly used interpreters, setting it apart in the realm of explainable AI.","2642-9381","979-8-3503-1892-0","10.1109/WACV57701.2024.00476","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10483645","Algorithms;Explainable;fair;accountable;privacy-preserving;ethical computer vision;Algorithms;Image recognition and understanding;Applications;Visualization","Analytical models;Computer vision;Sensitivity analysis;Computational modeling;Perturbation methods;Neural networks;Predictive models","","","","42","IEEE","9 Apr 2024","","","IEEE","IEEE Conferences"
"Extended Abstract: What to Expect When You Are Learning Data Visualization: A Textual Analysis of Course Syllabi","Y. Kong",NC State University,2020 IEEE International Professional Communication Conference (ProComm),"21 Sep 2020","2020","","","189","190","This article discusses the content coverage of introductory data visualization courses in U.S. higher education. I conducted a corpus-assisted textual analysis of 20 publicly available course syllabi. The findings suggest that existing courses predominantly focus on the practical experience of producing visualization design (e.g., tools, techniques, methods), but rarely devote time to broader sociocultural factors and ethical issues involved in the process. I concluded by suggesting that technical and professional communication can illuminate the pedagogical approaches to data visualization through its ethical, humanistic, and contextual concerns.","2158-1002","978-1-7281-5563-0","10.1109/ProComm48883.2020.00042","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9201248","Context;course;data visualization;ethics;humanism;pedagogy;syllabi","Data visualization;Tools;Professional communication;Visualization;Ethics;STEM","","1","","9","IEEE","21 Sep 2020","","","IEEE","IEEE Conferences"
"Math Matters in Communication: Manipulation and Misrepresentation in Data Displays","K. S. Hardesty; C. Hardesty",Webber International University; Hillsborough Community College,2020 IEEE International Professional Communication Conference (ProComm),"21 Sep 2020","2020","","","61","67","Whether you walk in industry or academia (or both), the ability to interrogate data and the way it is displayed visually matters. We discuss how misleading graphics and data displays are constructed, focusing on five means of manipulating data: 1) scale, 2) sample size, 3) confounding variables, 4) data outliers, and 5) the visual selected for the story. We focus on these areas as some of the most common sources of concern in misleading or inaccurate data displays, yet the mathematics underlying these concepts is often absent from or covered only superficially in professional communication instruction. We further offer examples to both mathematics and communication instructors for helping students recognize misleading graphics and how to avoid them, encouraging interdisciplinary bridges to meet the multidisciplinary requirements of creating ethical data displays.","2158-1002","978-1-7281-5563-0","10.1109/ProComm48883.2020.00016","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9201218","Visual communication;mathematics;data displays;data visualization;ethics","Visualization;Sociology;Statistics;Professional communication;Data visualization","","","","20","IEEE","21 Sep 2020","","","IEEE","IEEE Conferences"
"Focusing on the ""14th Five-Year Plan""’: Analysis of Some Problems of Teachers’ Ethics in Physical Education Teachers Based on Data Visualization","L. Xuan; L. Hui","Xingzhi School, Longhua District, Shenzhen, Shenzhen, China; Cunjin College, Guangdong Ocean University, Zhanjiang, China",2020 International Conference on Information Science and Education (ICISE-IE),"6 May 2021","2020","","","264","267","2020 is not only the closing year of the 13th Five-Year Plan (2016-2020), but also the year of the 14th Five-Year Plan. This paper uses the methods of literature, mathematical statistics and other research methods to sort out the relevant research results of ""physical education teachers' ethics"" during the 13th Five-Year Plan, and summarizes the common problems existing in the teachers' ethics of physical education in China. The results show that there are some problems such as lack of sense of mission, lack of professional self-identity, lack of humanistic care, weak sense of lifelong learning, lack of rigorous teaching and poor academic consciousness.","","978-1-6654-2261-1","10.1109/ICISE51755.2020.00064","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9418933","The 13th Five-Year Plan;The 14th Five-Year Plan;Data visualization;Physical Education Teachers;Teachers’Ethics","Ethics;Information science;Education;Data visualization;Focusing","","","","12","IEEE","6 May 2021","","","IEEE","IEEE Conferences"
"Ground penetrating radar and micro raman spectroscopy in Keciova Mosque Casbah-Algiers (Algeria)","S. Kadioglu; Y. K. Kadioglu; K. Deniz; A. A. Akyol","Ankara University, Earth Sciences Application and Research Center (YEBIM), Tandogan / Ankara, TURKEY; Ankara University, Faculty of Engineering, 06100 Tandogan, TURKEY; Ankara University, Earth Sciences Application and Research Center (YEBIM), Tandogan / Ankara, TURKEY; Faculty of Fine Arts Block B, Gazi University, Golbasi/ Ankara, TURKEY",Proceedings of the 15th International Conference on Ground Penetrating Radar,"4 Dec 2014","2014","","","50","53","Use of monitoring tools becomes more and more relevant at the increase of the ageing of heritage and historical infrastructures in order to properly drive the management and conservation procedures. In this framework; GPR method, and micro confocal Raman spectroscopy (CRS) methods were used in Keciova (Ketchaoua) Mosque (Casbah, Algeria) in order to visualize historical remains, foundations and basement infrastructures such as fractures, cavities or any other risk factors and identify minerals and rock types before restoration studies. The Mosque is an UNESCO World Heritage Site.","","978-1-4799-6789-6","10.1109/ICGPR.2014.6970383","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6970383","Keciova Mosque Casbah-Algeria;GPR;CRS;Transparent 3D GPR Visualization;Half Bird's Eye View of GPR Data","Data visualization;Ground penetrating radar;Image restoration;Indexes;Spectroscopy;Monitoring","","1","","4","IEEE","4 Dec 2014","","","IEEE","IEEE Conferences"
"Computer Base Research on Human Living Organ Transparent Visualization Method","Z. Zhi-Zun; S. Yan-Bin; Z. Jun-Chang; C. Bao","Imaging Faculty, Mudanjiang medical university, Mudanjiang, Heilongjiang, China; Imaging Faculty, Mudanjiang medical university, Mudanjiang, Heilongjiang, China; Imaging Faculty, Mudanjiang medical university, Mudanjiang, Heilongjiang, China; Imaging Faculty, Mudanjiang medical university, Mudanjiang, Heilongjiang, China",2012 International Conference on Computer Science and Service System,"31 Dec 2012","2012","","","1301","1304","Objective through interesting organ segmentation, realize organ and tumor 3D transparent visualization and give clinical support. Methods Use personal computer to conduct morphology image process, technical analyses, process threshold segmented tissue and set grade by using grade trans-function to give organ multilayer transparent visualization. Result and Conclusions Experimental results demonstrated that using this method on personal computer can conveniently and fast to construct 3D image and retain relating environmental information and at same time can also observe internal organ construction qualitatively and quantitatively.","","978-0-7695-4719-0","10.1109/CSSS.2012.328","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6394566","threshold segmentation;3D image reconstructio;transparent visualization","Image segmentation;Surface morphology;Data visualization;Surface reconstruction;MATLAB;Surface treatment;Biomedical imaging","","","","10","IEEE","31 Dec 2012","","","IEEE","IEEE Conferences"
"Research on Evaluation System of the Judge Quality in Students’ Contest Based on Data Driven","R. Zhao; Y. Guo; X. Ma; X. Yin; J. Tang","College of Systems Engineering, National University of Defense Technology, Changsha; College of Liberal Arts and Sciences, National University of Defense Technology, Changsha; College of Liberal Arts and Sciences, National University of Defense Technology, Changsha; College of Systems Engineering, National University of Defense Technology, Changsha; Science and Technology on Information Systems Engineering Laboratory, National University of Defense Technology, Changsha","2022 3rd International Conference on Education, Knowledge and Information Management (ICEKIM)","1 Feb 2023","2022","","","1075","1079","Students’ contest is a vital part of the education process. It can significantly exercise students' ability to innovate and teamwork. In the contest, the high-quality evaluation team is the guarantees fairness and efficiency. The supervision and evaluation of the quality of the judge is the basis of building a high-quality judge team. In this regard, the main research contents of this paper are as follows: Based on data driven, combined with psychology and statistical analysis, three dimensions of evaluation indexes are built by combining qualitative and quantitative methods, and the evaluation model for evaluating judges is built. The accuracy and efficiency of the model are verified by case analysis using the model and data visualization methods. The research results provide valuable help for improving the evaluation quality and efficiency of the judges.","","978-1-6654-1666-5","10.1109/ICEKIM55072.2022.00233","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10027433","students’ contest;data driven;data visualization evaluation model for evaluating judges;fairness","Analytical models;Statistical analysis;Education;Mathematical analysis;Data visualization;Psychology;Data models","","1","","6","IEEE","1 Feb 2023","","","IEEE","IEEE Conferences"
