Authors,Title,Year,DOI,Link,Abstract,Keywords,Database,Item Type,Journal,ISSN,Volume,Issue,Pages,Publisher,Notes,Key,Title Points,Abstract Points,Keywords Points,title_normalized,Total Points
F. Cabric; M. V. Bjarnadóttir; M. Ling; G. L. Rafnsdóttir; P. Isenberg,Eleven Years of Gender Data Visualization: A Step Towards More Inclusive Gender Representation,2024,10.1109/TVCG.2023.3327369,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10304299,"We present an analysis of the representation of gender as a data dimension in data visualizations and propose a set of considerations around visual variables and annotations for gender-related data. Gender is a common demographic dimension of data collected from study or survey participants, passengers, or customers, as well as across academic studies, especially in certain disciplines like sociology. Our work contributes to multiple ongoing discussions on the ethical implications of data visualizations. By choosing specific data, visual variables, and text labels, visualization designers may, inadvertently or not, perpetuate stereotypes and biases. Here, our goal is to start an evolving discussion on how to represent data on gender in data visualizations and raise awareness of the subtleties of choosing visual variables and words in gender visualizations. In order to ground this discussion, we collected and coded gender visualizations and their captions from five different scientific communities (Biology, Politics, Social Studies, Visualisation, and Human-Computer Interaction), in addition to images from Tableau Public and the Information Is Beautiful awards showcase. Overall we found that representation types are community-specific, color hue is the dominant visual channel for gender data, and nonconforming gender is under-represented. We end our paper with a discussion of considerations for gender visualization derived from our coding and the literature and recommendations for large data collection bodies. A free copy of this paper and all supplemental materials are available at https://osf.io/v9ams/.",Visualization;gender;visual gender representation;ethics,ieee,IEEE Journals,,1941-0506,30,1.0,10.0,IEEE,,,10,29,15,eleven years of gender data visualization a step towards more inclusive gender representation,54
Uddin M.T.; Yin L.; Canavan S.,Spatio-Temporal Graph Analytics on Secondary Affect Data for Improving Trustworthy Emotional AI,2024,10.1109/TAFFC.2023.3296695,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165370380&doi=10.1109%2fTAFFC.2023.3296695&partnerID=40&md5=8a6de88e996863bdd65c38c0764a1f58,"Ethical affective computing (AC) requires maximizing the benefits to users while minimizing its harm to obtain trust from users. This requires responsible development and deployment to ensure fairness, bias mitigation, privacy preservation, and accountability. To obtain this, we require methodologies that can quantify, visualize, analyze, and mine insights from affect data. Hence, in this article, we propose a spatio-temporal model for representing secondary affect data from network sciences' perspective. We propose a network science-based model to represent spatio-temporal data, e.g., action units' sequences, and continuous affect reports. In particular, the proposed model captures the spatial and temporal strength of the relationship among essential variables in the data. The proposed model allows to analyze data as a whole system. We also demonstrated the use case of the model for graph analytics on secondary affect data that can assist to measure and quantify several issues that can be originated from the study setup, data recording devices, and the influences/biases that can originate from the perspective of the affect reporters. We also demonstrated the use cases of the proposed method on ethical trustworthy emotional AI via measuring biases from de-identified data and how it contributes towards ethics, transparency, value alignment, and governance.  © 2010-2012 IEEE.",affective graph analytics; and contextual perspectives; data quality inspection; fairness and biases from data collection; recording; Spatio-temporal network model; trustworthy ethical AC;Ethical technology; Affective Computing; Affective graph analytic; And contextual perspective; Computational modelling; Data collection; Data quality; Data quality inspection; Face; Fairness and bias from data collection; Gold; Graph-analytic; Network models; Quality inspection; Recording; Spatio-temporal; Spatio-temporal network model; Temporal networks; Trustworthy ethical affective computing; Data visualization,scopus,Article,,19493045,15,1,19.0,Institute of Electrical and Electronics Engineers Inc.,,,2,28,23,spatiotemporal graph analytics on secondary affect data for improving trustworthy emotional ai,53
Zöller M.-A.; Titov W.; Schlegel T.; Huber M.F.,XAutoML: A Visual Analytics Tool for Understanding and Validating Automated Machine Learning,2023,10.1145/3625240,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181445629&doi=10.1145%2f3625240&partnerID=40&md5=faaf94ea0978fba6b1095d8ed68641b9,"In the last 10 years, various automated machine learning (AutoML) systems have been proposed to build end-to-end machine learning (ML) pipelines with minimal human interaction. Even though such automatically synthesized ML pipelines are able to achieve competitive performance, recent studies have shown that users do not trust models constructed by AutoML due to missing transparency of AutoML systems and missing explanations for the constructed ML pipelines. In a requirements analysis study with 36 domain experts, data scientists, and AutoML researchers from different professions with vastly different expertise in ML, we collect detailed informational needs for AutoML. We propose XAutoML, an interactive visual analytics tool for explaining arbitrary AutoML optimization procedures and ML pipelines constructed by AutoML. XAutoML combines interactive visualizations with established techniques from explainable artificial intelligence (XAI) to make the complete AutoML procedure transparent and explainable. By integrating XAutoML with JupyterLab, experienced users can extend the visual analytics with ad-hoc visualizations based on information extracted from XAutoML. We validate our approach in a user study with the same diverse user group from the requirements analysis. All participants were able to extract useful information from XAutoML, leading to a significantly increased understanding of ML pipelines produced by AutoML and the AutoML optimization itself. © 2023 Copyright held by the owner/author(s)",Automated machine learning; AutoML; Explainable AI; transparency; XAI;Automation; Machine learning; Pipelines; Requirements engineering; Visualization; Analytic tools; Automated machine learning; Automated machines; Explainable AI; Machine-learning; Visual analytics; XAI; Transparency,scopus,Article,,21606455,13,4,,Association for Computing Machinery,,,11,27,22,xautoml a visual analytics tool for understanding and validating automated machine learning,60
Yan X.; Zhou Y.; Mishra A.; Mishra H.; Wang B.,Exploring Visualization for Fairness in AI Education,2024,10.1109/PacificVis60374.2024.00010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195939911&doi=10.1109%2fPacificVis60374.2024.00010&partnerID=40&md5=65d3295e26dbcbc5caf4337248fc4330,"AI systems are becoming omnipresent in our daily lives, but they can sometimes be a source of bias for disadvantaged groups. Lack of fairness in AI systems is not just an engineering issue that influences public policy, it also has important implications for business ethics and corporate social responsibility. To educate nontechnical students at the business school, we have developed educational modules on fairness in AI that convey the importance of making not just accurate but also equitable business decisions. We introduce an educational module with six interactive components that illustrate how to detect, quantify, and mitigate biases in a logistic regression model. When such a module was deployed in a ""Fair Algorithms for Business""course, it was shown to increase students' engagement and understanding. We further conducted a user study with 413 participants to examine whether adding visualizations and interactions (or not) could lead to an increased understanding of fairness concepts.  © 2024 IEEE.",Computing education; Human-centered computing; Social and professional topics; Visualization; Visualization design and evaluation methods;Education computing; Social aspects; Students; AI systems; Business ethics; Computing education; Daily lives; Design and evaluation methods; Disadvantaged groups; Human-centered computing; Social and professional topic; Visualization design and evaluation method; Visualization designs; Visualization,scopus,Conference paper,,21658765,,,9.0,IEEE Computer Society,,,12,27,15,exploring visualization for fairness in ai education,54
Mohamed E.; Sirlantzis K.; Howells G.,A review of visualisation-as-explanation techniques for convolutional neural networks and their evaluation,2022,10.1016/j.displa.2022.102239,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134035989&doi=10.1016%2fj.displa.2022.102239&partnerID=40&md5=8a7b6b7b50e076e12c392e2ae2233dc6,"Visualisation techniques are powerful tools to understand the behaviour of Artificial Intelligence (AI) systems. They can be used to identify important features contributing to the network decisions, investigate biases in datasets, and find weaknesses in the system's structure (e.g., network architectures). Lawmakers and regulators may not allow the use of smart systems if these systems cannot explain the logic underlying a decision or action taken. These systems are required to offer a high level of 'transparency' to be approved for deployment. Model transparency is vital for safety–critical applications such as autonomous navigation and operation systems (e.g., autonomous trains or cars), where prediction errors may have serious implications. Thus, being highly accurate without explaining the basis of their performance is not enough to satisfy regulatory requirements. The lack of system interpretability is a major obstacle to the wider adoption of AI in safety–critical applications. Explainable Artificial Intelligence (XAI) techniques applied to intelligent systems to justify their decisions offers a possible solution. In this review, we present state-of-the-art explanation techniques in detail. We focus our presentation and critical discussion on visualisation methods for the most adopted architecture in use, the Convolutional Neural Networks (CNNs), applied to the domain of image classification. Further, we discuss the evaluation techniques for different explanation methods, which shows that some of the most visually appealing methods are unreliable and can be considered a simple feature or edge detector. In contrast, robust methods can give insights into the model behaviour, which helps to enhance the model performance and boost the confidence in the model's predictions. Besides, the applications of XAI techniques show their importance in many fields such as medicine and industry. We hope that this review proves a valuable contribution for researchers in the field of XAI. © 2022 The Authors",Activation heatmaps; Architecture understanding; Black-box representations; CNN visualisation; Convolutional neural networks; Explainable AI; Feature visualisation; Interpretable neural networks; Saliency maps; XAI;Convolution; Convolutional neural networks; Intelligent systems; Network architecture; Transparency; Activation heatmap; Architecture understanding; Black box representation; Convolutional neural network; Convolutional neural network visualization; Explainable artificial intelligence; Feature visualization; Heatmaps; Interpretable neural network; Network visualization; Neural-networks; Saliency map; XAI; Visualization,scopus,Review,,01419382,73,,,Elsevier B.V.,,,10,19,23,a review of visualisationasexplanation techniques for convolutional neural networks and their evaluation,52
Wu K.,Designing Accessible Visualizations for People with Intellectual and Developmental Disabilities,2023,10.1145/3544549.3577048,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158141068&doi=10.1145%2f3544549.3577048&partnerID=40&md5=84df9fbae7ab3b19432d499350335c90,"Visualization amplifies cognition and helps a viewer see the trends, patterns, and outliers in data. However, conventional visualization tools and guidelines do not actively consider the unique needs and abilities of people with Intellectual and Developmental Disabilities (IDD), leaving them excluded from data-driven activities and vulnerable to ethical issues in everyday life. My dissertation work explores the challenges and opportunities of cognitively accessible visualization. Through mixed-method approaches and close collaboration with people with IDD, my team and I ran experiments and developed guidelines to improve current visualizations, we interviewed people with IDD and gained initial understandings of their daily data experiences, and we are currently in the process of revising a participatory design workshop to create accessible visualizations for and with this population. For the remaining dissertation work, I hope to further expand our knowledge of cognitively accessible visualization, translating what I have learned from these experiences into a graphical user interface that supports people with IDD with their self-advocacy and self-expression using personally relevant data. My ultimate career goal is to theorize cognitively accessible visualization and empower people with IDD to make informed decisions and generate meaningful discoveries through accessible visual analytics. © 2023 Owner/Author.",Cognitive Accessibility; Personal Informatics; Physicalization; Storytelling;Data visualization; Ethical technology; Graphical user interfaces; Population statistics; Cognitive accessibility; Data driven; Developmental disability; Ethical issues; Intellectual disability; Mixed method; Personal informatics; Physicalization; Storytelling; Visualization tools; Visualization,scopus,Conference paper,,,,,,Association for Computing Machinery,,,10,31,20,designing accessible visualizations for people with intellectual and developmental disabilities,61
Firiza S.-M.; Scornea A.-M.; Topirceanu A.,Visualizing the COVID-19 Pandemic: Retrospective Insights and Implications for Public Health Strategies,2024,10.1109/SACI60582.2024.10619727,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202341073&doi=10.1109%2fSACI60582.2024.10619727&partnerID=40&md5=77d82bff34a30babd5461f28f82b4058,"This paper presents a comprehensive visualization-driven data analysis of the COVID-19 pandemic, focusing on key aspects such as new cases, vaccination rates, and demographic factors. Various visualization techniques, including line plots, scatter plots, pie charts, and bar plots, were employed to illustrate and interpret the rich data. Our findings reveal important insights into the evolution of new cases over time, the distribution of vaccination rates across continents, the impact of demographic factors on COVID-19-related deaths, and the effectiveness of stringency measures implemented by authorities. Surprisingly, the analysis highlighted variations in mortality rates among different age groups, suggesting a potential disparity in pandemic response. The study underscores the importance of collective responsibility in combating viral outbreaks, and emphasizes the need for targeted interventions based on demographic considerations. Overall, this paper contributes to a better understanding of the COVID-19 pandemic through graphically informative data visualizations. © 2024 IEEE.",COVID-19; data analysis; data visualization; epidemic outbreak;Age groups; Collective responsibility; Demographic factors; Different ages; Epidemic outbreak; Mortality rate; New case; Pie chart; Scatter plots; Visualization technique; COVID-19,scopus,Conference paper,,,,,5.0,Institute of Electrical and Electronics Engineers Inc.,,,8,26,20,visualizing the covid19 pandemic retrospective insights and implications for public health strategies,54
Ha S.; Monadjemi S.; Ottley A.,"Guided By AI: Navigating Trust, Bias, and Data Exploration in AI-Guided Visual Analytics",2024,10.1111/cgf.15108,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194346272&doi=10.1111%2fcgf.15108&partnerID=40&md5=a0d9caf8241b03383abbc92acdc464f6,"The increasing integration of artificial intelligence (AI) in visual analytics (VA) tools raises vital questions about the behavior of users, their trust, and the potential of induced biases when provided with guidance during data exploration. We present an experiment where participants engaged in a visual data exploration task while receiving intelligent suggestions supplemented with four different transparency levels. We also modulated the difficulty of the task (easy or hard) to simulate a more tedious scenario for the analyst. Our results indicate that participants were more inclined to accept suggestions when completing a more difficult task despite the ai's lower suggestion accuracy. Moreover, the levels of transparency tested in this study did not significantly affect suggestion usage or subjective trust ratings of the participants. Additionally, we observed that participants who utilized suggestions throughout the task explored a greater quantity and diversity of data points. We discuss these findings and the implications of this research for improving the design and effectiveness of ai-guided va tools. © 2024 Eurographics - The European Association for Computer Graphics and John Wiley & Sons Ltd.",CCS Concepts; Empirical studies in visualization; • Human-centered computing → Visual analytics;Data visualization; Transparency; Analytic tools; CCS concept; Data exploration; Empirical studies; Empirical study in visualization; Exploration tasks; Human-centered computing; Visual analytics; Visual data exploration; • human-centered computing → visual analytic; Visualization,scopus,Article,,01677055,43,3,,John Wiley and Sons Inc,,,16,18,22,guided by ai navigating trust bias and data exploration in aiguided visual analytics,56
Zhou B.; Tan Z.; Zheng Z.; Zhou D.; Savkovic O.; Kharlamov E.,Towards A Visualisation Ontology for Reusable Visual Analytics,2022,10.1145/3579051.3579074,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148543651&doi=10.1145%2f3579051.3579074&partnerID=40&md5=8e886a438b458d48213310182d802011,"Data analytics including machine learning analytics is essential to extract insights from production data in modern industries. Visual analytics is essential for data analytics for e.g., presenting the data to provide an instinctive perception in exploratory data analysis, facilitating the presentation of data analysis results and the subsequent discussion on that. Visual analytics should allow a transparent common ground for discussion between experts in data analysis projects, given the multidisciplinary background of these experts. However, a standarised and formalised way of describing the knowledge and practice of visualisation is still lacking in the industry, which hamstrings the transparency and reusability of visual analytics. A visualisation ontology which models the nature and procedure of visualisation is well-suited to provide such standardisation. Currently a few studies discuss partially the modelling of visualisation, but insufficiently study the procedure of visualisation tasks, which is important for transparency and reusability especially in an industrial scenario. To this end, we present our ongoing work of development of the visualisation ontology in industrial scenarios at Bosch. We also demonstrate its benefits with case studies and knowledge graph based on our ontology. © 2022 Owner/Author.",knowledge graph; ontology engineering; visual analytics;Data Analytics; Data handling; Information analysis; Knowledge graph; Reusability; Transparency; Visualization; Common ground; Data analytics; Exploratory data analysis; Industrial scenarios; Knowledge graphs; Machine-learning; Ontology engineering; Ontology's; Production data; Visual analytics; Ontology,scopus,Conference paper,,,,,4.0,Association for Computing Machinery,,,20,25,22,towards a visualisation ontology for reusable visual analytics,67
Huang R.; Li Q.; Chen L.; Yuan X.,A Probability Density-Based Visual Analytics Approach to Forecast Bias Calibration,2022,10.1109/TVCG.2020.3025072,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125550905&doi=10.1109%2fTVCG.2020.3025072&partnerID=40&md5=da6bfdd2e3b687da424974de664029de,"Biases inevitably occur in numerical weather prediction (NWP) due to an idealized numerical assumption for modeling chaotic atmospheric systems. Therefore, the rapid and accurate identification and calibration of biases is crucial for NWP in weather forecasting. Conventional approaches, such as various analog post-processing forecast methods, have been designed to aid in bias calibration. However, these approaches fail to consider the spatiotemporal correlations of forecast bias, which can considerably affect calibration efficacy. In this article, we propose a novel bias pattern extraction approach based on forecasting-observation probability density by merging historical forecasting and observation datasets. Given a spatiotemporal scope, our approach extracts and fuses bias patterns and automatically divides regions with similar bias patterns. Termed BicaVis, our spatiotemporal bias pattern visual analytics system is proposed to assist experts in drafting calibration curves on the basis of these bias patterns. To verify the effectiveness of our approach, we conduct two case studies with real-world reanalysis datasets. The feedback collected from domain experts confirms the efficacy of our approach.  © 1995-2012 IEEE.",calibration; pattern extraction; visual analytics; Weather forecast;Extraction; Visualization; Weather forecasting; Analytic approach; Atmospheric systems; Chaotics; Conventional approach; Density-based; Forecast bias; Numerical weather prediction; Pattern extraction; Probability densities; Visual analytics; article; calibration; extraction; forecasting; human; probability; Calibration,scopus,Article,,10772626,28,4,12.0,IEEE Computer Society,,,14,14,24,a probability densitybased visual analytics approach to forecast bias calibration,52
